,0,1,2,3,4,5,6,7,8,9
agent_131,227895.62102805858,227139.2380349557,226401.76461668036,225682.72803386193,224981.66736561395,224298.13321407215,223631.68741631892,222981.9027635095,222348.36272702034,221730.6611914434
agent_132,347503.5754654561,346804.1651805076,346122.24015268276,345457.36325055355,344809.10827097757,344177.059665891,343560.8122759316,342959.97107072116,342374.150895641,341802.9762249378
agent_133,289189.16581776494,286651.7881681585,284177.8449597922,281765.75033163506,279413.9580691819,277120.96061329,274885.2880937955,272705.50738728826,270580.22119844373,268508.0671643203
agent_134,290970.28457968484,292234.52017838974,293467.149887127,294668.96385314583,295840.73247001413,296983.2068714608,298097.1194128712,299183.18414074637,300242.0972504247,301274.537532361
agent_135,888166.2864806749,872886.3992797927,857988.5092589326,843463.0664885939,829300.7597875138,815492.5107539606,802029.4679462463,788903.0012087248,776104.6961396413,763626.3486972849
agent_136,379182.1911360673,372723.12849303003,366425.54241606867,360285.3959910313,354298.7532266199,348461.7765313188,342770.7242534002,337221.9482824296,331811.89171073324,326537.0865533293
agent_137,588068.0513811843,579347.0327832042,570844.0396501737,562553.621345469,554470.4634983819,546589.3845974719,538905.3326690848,531413.3820389073,524108.7301744842,516986.6946066717
agent_138,317897.61801170436,315482.2964154297,313127.35785906186,310831.29276660323,308592.6293014561,306409.9324229376,304281.80296638206,302206.8767462404,300183.8236816023,298211.3469435802
agent_139,1258215.7263567534,1234201.0280272916,1210786.6971560665,1187957.724556622,1165699.4762721637,1143997.6841948167,1122838.4369194035,1102208.1708258756,1082093.661384686,1062482.014679526
agent_140,437720.1485404449,432200.2034071482,426818.2569021839,421570.85905984364,416454.64616356196,411466.3385896873,406602.7387051595,401860.72881774494,397237.2691775157,392729.3960282922
agent_141,1887207.5887387532,1845189.3106849457,1804221.4895824832,1764277.8640075824,1725332.829072054,1687361.4200099139,1650339.2961743271,1614242.7254346302,1579048.5689634257,1544734.2664040013
agent_142,108293.62549336492,113291.81603482207,118165.0518127428,122916.45669621551,127549.0764576014,132065.88072495264,136469.76488562013,140763.5519422709,144949.9943225054,149031.77564323405
agent_143,84349.85413063451,86865.95297271304,89319.14934373958,91711.01580549046,94043.08560569759,96316.85366089953,98533.77751472141,100695.27827219776,102802.74151073719,104857.51816831314
agent_144,371999.0028109129,366761.05937792297,361654.0645307578,356674.7445547717,351819.90757818526,347086.4415260135,342471.31212514604,337971.56095930026,333584.30357260065,329306.7276205685
agent_145,109361.9540431396,110783.28933075386,112169.09123617777,113520.24809396607,114837.62603030968,116122.0695182447,117374.40191898133,118595.42600969954,119785.9244981498,120946.66052438882
agent_146,58771.918176760824,63438.21795725043,67987.86024322781,72423.76147205575,76748.76517016298,80965.64377581753,85077.10041633072,89085.77064083109,92994.22410971894,96804.9662418846
agent_147,1819397.3385605318,1782893.0165160662,1747301.3025227122,1712599.381379192,1678765.0082642597,1645776.4944772008,1613612.6935348182,1582252.9876159953,1551677.274345143,1521865.953906062
